Price,Year,Make,Model,Condition,Engine Cylinders,Odometer,Driven Wheels
0,2018,chevrolet,express cargo van,like new,6,68472,rwd
0,2019,chevrolet,express cargo van,like new,6,69125,rwd
0,2018,chevrolet,express cargo van,like new,6,66555,rwd
38990,2020,infiniti,qx60 luxe sport utility,good,6,5279,fwd
33990,2018,alfa-romeo,romeo stelvio ti sport suv,good,4,23753,fwd
27990,2017,lincoln,continental select sedan,good,6,19492,fwd
28590,2018,audi,q5 premium sport utility 4d,good,4,31033,fwd
18590,2018,hyundai,sonata sel sedan 4d,good,4,22075,fwd
29990,2018,audi,a6,good,4,24996,fwd
14990,2016,other,Scion iM Hatchback 4D,good,4,65203,fwd
39990,2020,acura,mdx sh-awd sport utility,good,6,1237,fwd
2500,1966,other,1966 C-30 1 ton,good,6,47000,rwd
4000,2006,jeep,grand cherokee laredo,good,6,281000,rwd
32990,2019,jeep,wrangler sport suv 2d,good,6,1423,4wd
27590,2012,jeep,wrangler unlimited sport,good,6,52172,4wd
18590,2017,toyota,camry le sedan 4d,good,4,30223,fwd
33590,2017,ram,1500 crew cab laramie pickup,good,4,45464,fwd
40990,2017,jeep,wrangler unlimited rubicon,good,4,30092,4wd
33590,2017,jeep,wrangler unlimited sport,good,6,37919,4wd
31590,2017,jeep,wrangler unlimited sport,good,6,35391,4wd
30990,2017,jeep,wrangler unlimited sport,good,6,43039,4wd
14590,2012,bmw,1 series 128i coupe 2d,good,4,80465,fwd
20590,2018,chrysler,300 limited sedan 4d,good,6,71021,rwd
19990,2020,mitsubishi,outlander sport es,good,4,11103,fwd
10990,2013,nissan,sentra s sedan 4d,good,4,81557,fwd
26990,2018,gmc,acadia sle-2 sport utility,good,6,26514,fwd
36590,2020,gmc,acadia denali sport utility,good,6,33026,fwd
30990,2020,gmc,acadia slt sport utility 4d,good,6,35200,fwd
24590,2018,lincoln,mkz select sedan 4d,good,4,16081,fwd
8990,2013,other,smart fortwo Passion Hatchback,good,4,59072,rwd
23990,2015,lexus,nx 200t sport utility 4d,good,4,48462,fwd
25590,2020,buick,encore gx select sport,good,4,1113,fwd
52990,2020,jaguar,e-pace p300 r-dynamic se,good,4,79,fwd
19000,2017,subaru,forester,like new,4,22700,fwd
28000,2018,acura,tlx,excellent,4,55000,fwd
17590,2015,volvo,s60 t5 premier sedan 4d,good,4,63512,fwd
36590,2020,volvo,s60 t6 r-design sedan 4d,good,4,18506,fwd
35990,2020,volvo,s60 t6 inscription sedan,good,4,11878,fwd
38590,2019,volvo,s60 t8 r-design sedan 4d,good,4,14054,fwd
29590,2018,lincoln,continental select sedan,good,6,33047,fwd
32590,2018,alfa-romeo,romeo stelvio sport suv 4d,good,4,14863,fwd
27590,2018,infiniti,qx60,good,6,41119,fwd
38990,2020,audi,q5 45 tfsi premium plus,good,4,19067,fwd
21950,2012,toyota,tacoma 4x4,excellent,4,143060,4wd
13950,2011,toyota,tacoma,good,4,151060,rwd
5900,2001,other,F-350,good,8,200000,rwd
12950,2005,bmw,z4,excellent,6,69586,rwd
18950,2010,ford,f150 lariat supercrew 4x4,good,8,151403,4wd
6995,2011,volkswagen,jetta sel,excellent,5,172752,fwd
12500,2008,ford,ranger xlt,excellent,6,141345,rwd
16950,2007,toyota,tacoma double cab,good,6,156792,rwd
22950,2014,ford,f150 supercrew cab xlt,excellent,8,166380,4wd
12950,2011,honda,crv ex,excellent,4,87994,fwd
12950,2007,mazda,mx-5 miata touring,excellent,4,90610,rwd
13950,2011,mazda,mx-5 miata grand touring,excellent,4,138235,rwd
19950,2009,porsche,boxster,excellent,6,80190,rwd
13950,2008,mazda,miata,excellent,4,86650,rwd
10950,2009,lexus,rx350,excellent,6,191955,4wd
13950,2006,lexus,gx470,good,8,178790,4wd
1800,1998,toyota,rav4,good,4,240537,fwd
21250,2002,ford,thunderbird,new,8,15996,fwd
4500,2008,ford,mustang,good,6,187016,rwd
39590,2020,chevrolet,silverado 1500 crew,good,8,19160,fwd
26990,2017,nissan,titan single cab sv,good,8,41335,4wd
4299,2007,nissan,sentra,good,4,189321,fwd
0,2015,nissan,sentra,excellent,4,99505,fwd
3950,2008,kia,spectra ex,excellent,4,247377,fwd
5900,1998,ford,f150,excellent,8,214000,fwd
33990,other,other,lac XT5 Crossover,good,6,48784,fwd
34995,2012,dodge,charger limousine,good,4,41000,fwd
3200,2005,ford,focus,good,4,189886,fwd
3495,1999,ford,windstar,good,6,135448,fwd
6500,2002,ford,sport trac,good,6,114775,fwd
16988,2008,toyota,fj cruiser,good,4,188099,4wd
16988,2018,nissan,altima,good,4,57517,fwd
26990,2018,nissan,frontier,good,4,31814,rwd
32186,2021,toyota,tacoma,good,4,1443,rwd
16477,2015,buick,enclave,good,4,103969,fwd
58977,2019,gmc,sierra 3500,good,4,66368,4wd
30990,2016,chevrolet,silverado 1500 double,good,6,58116,fwd
6900,2009,honda,ridgeline,fair,4,198000,4wd
3750,1997,ford,f150,good,4,150000,fwd
2500,1976,chevrolet,malibu classic,good,4,100,fwd
3500,2003,toyota,camry,good,4,237000,fwd
1300,1969,mercedes-benz,benz,good,4,12774,fwd
25990,2016,bmw,5 series,good,6,75123,fwd
8000,2013,kia,optima,excellent,4,119000,fwd
32000,2008,chevrolet,silverado 2500,good,8,109600,4wd
3399,2006,buick,lacrosse,good,6,160218,fwd
4000,2002,toyota,echo,excellent,4,155000,fwd
3900,2009,hyundai,elantra,good,4,162005,rwd
3000,2004,chevrolet,blazer,good,6,131500,4wd
2800,2009,nissan,versa,good,4,109000,fwd
2500,1995,bmw,525i,fair,6,110661,rwd
53000,2006,other,Sterling Acterra,good,4,160322,fwd
33590,2014,gmc,sierra 1500 crew cab slt,good,8,57923,fwd
12500,2008,gmc,yukon xl,excellent,8,177326,rwd
15990,2017,ford,c-max hybrid se wagon 4d,good,4,48195,fwd
2500,2008,honda,accord,good,6,204561,fwd
20995,2011,chevrolet,silverado 1500 ltz crew cab 4wd,good,4,137701,4wd
25995,2015,chevrolet,silverado 1500 lt crew cab 4wd,good,4,151681,4wd
31995,2014,chevrolet,silverado 1500 2lt crew cab long box 4wd,good,4,66738,4wd
5500,1978,ford,f-150,good,8,239000,fwd
29000,2005,ford,f750,good,4,77124,fwd
27990,2012,gmc,sierra 2500 hd extended cab,good,8,68696,4wd
24990,2018,gmc,canyon extended cab pickup,good,4,32329,fwd
10990,2011,mercedes-benz,ml350,excellent,6,119172,4wd
3300,1999,chrysler,300m,good,6,162026,fwd
27000,1954,ford,f100,good,4,6000,fwd
27995,2017,ford,f-150,good,4,101000,4wd
8100,2011,ford,escape,excellent,6,140000,fwd
20000,1979,chevrolet,malibu,like new,8,1234,rwd
3999,2003,infiniti,g35 sedan,good,6,233830,rwd
0,2019,chevrolet,silverado 1500,excellent,8,25127,4wd
23500,1970,chevrolet,monte carlo,excellent,4,18678,fwd
5300,2009,jeep,grand cherokee laredo,excellent,6,178000,4wd
0,2014,other,Freightliner Cascadia,good,4,100,fwd
45900,2017,other,Maserati Levante,good,6,36083,fwd
0,2017,chevrolet,silverado 2500hd 4x4,like new,8,102000,4wd
5500,1974,mercedes-benz,1929 ssk replica,good,4,9999,rwd
3500,1996,chevrolet,tahoe,excellent,8,237000,4wd
16902,2020,toyota,corolla,good,4,11692,fwd
12307,2018,kia,soul,good,4,95056,fwd
37500,2018,ford,f-150,good,4,30026,4wd
21688,2020,nissan,kicks,good,4,7575,fwd
29990,2016,chevrolet,colorado extended cab,good,6,17302,4wd
35590,2010,chevrolet,corvette convertible,good,8,31879,rwd
18977,2017,kia,sorento,good,4,70014,fwd
6877,2007,nissan,pathfinder,good,4,155471,rwd
500,2021,other,SPECIAL FINANCE PROGRAM 2020,fair,4,1400,fwd
12500,2015,volkswagen,passat tdi,excellent,4,101000,fwd
27998,2008,porsche,cayman,good,6,69505,rwd
0,2015,mercedes-benz,s-class,good,8,78807,4wd
6800,2004,mercedes-benz,clk320,good,6,116700,rwd
45000,2017,chevrolet,silverado,excellent,8,92000,4wd
2550,2004,cadillac,srx,good,6,224105,rwd
12500,2015,ford,taurus,like new,4,90000,fwd
3800,2011,nissan,altima,good,4,155000,fwd
2500,1987,other,1987 Saab 900 Turbo,fair,4,125000,fwd
2975,2006,other,Suzuki XL-7,good,6,217353,rwd
7980,2013,bmw,x3,good,4,156295,rwd
7800,2005,honda,accord ex-l,excellent,4,155000,fwd
9000,2008,mazda,miata mx-5,excellent,4,56700,rwd
5980,2005,cadillac,sts,good,8,129448,rwd
13500,2000,chevrolet,corvette,like new,8,92000,fwd
19950,1955,chevrolet,bel air,good,8,96867,rwd
5980,2005,acura,tl,good,6,179721,fwd
2675,1996,toyota,camry,good,4,164719,fwd
5980,2006,nissan,murano,good,6,178388,fwd
34995,2018,ram,2500,good,4,211000,4wd
6980,2011,kia,sorento,good,6,182321,rwd
31990,2017,jeep,wrangler sport s utility 2d,good,6,891,4wd
6980,2008,toyota,avalon,good,6,158888,fwd
11500,2013,honda,odyssey ex,good,4,92000,fwd
987654321,1960,chevrolet,other,good,4,999999,fwd
2600,2000,buick,lesabre,good,6,212061,fwd
4980,2007,ford,edge,good,6,178095,4wd
26995,2015,ford,f-350,good,4,247000,4wd
27990,2014,toyota,tacoma access cab pickup,good,4,17805,fwd
32990,2017,jeep,wrangler unlimited sport,good,6,30041,4wd
34995,2018,ram,1500,good,4,104000,rwd
5980,2010,gmc,terrain,good,4,208359,rwd
4500,2014,ford,f250 xl,good,4,250000,fwd
5480,2013,chevrolet,captiva sport,good,4,182711,fwd
16990,2016,kia,forte koup ex coupe 2d,good,4,17631,fwd
37590,2019,ford,f150 supercrew cab xl,good,6,8663,fwd
3975,2010,chevrolet,cobalt,good,4,162455,fwd
6480,2008,buick,enclave,good,6,183858,rwd
22900,2013,dodge,grand caravan,good,6,68228,fwd
24997,2014,mercedes-benz,m-class,good,8,82553,fwd
6700,2011,nissan,murano,excellent,6,184000,fwd
26500,2019,nissan,rogue sport,good,4,9975,fwd
27988,2020,nissan,altima,good,4,15139,fwd
20870,2019,infiniti,qx30,good,4,29938,fwd
26988,2018,nissan,pathfinder,good,4,24274,4wd
19990,2017,subaru,legacy,good,4,10309,fwd
19877,2011,ram,2500,good,4,183284,fwd
11977,2015,gmc,terrain,good,4,106591,fwd
29998,2014,mercedes-benz,cls,good,8,57406,rwd
0,2018,mercedes-benz,e-class,good,4,34099,rwd
12895,1991,chevrolet,corvette,good,8,43725,rwd
3650,1999,jeep,grand cherokee,good,6,151379,rwd
8500,2006,rover,other,good,8,139445,4wd
3299,2003,chevrolet,cavalier,good,4,176354,fwd
4499,2005,toyota,camry,good,4,170687,fwd
0,2017,ford,expedition el,good,6,82254,rwd
5940,2011,kia,soul,good,4,163385,rwd
3999,2009,volvo,s60,good,5,182005,fwd
8980,2011,jeep,grand cherokee,good,6,173787,rwd
4950,2001,toyota,4runner limited,good,6,266000,rwd
4980,2010,chevrolet,traverse,good,6,208122,rwd
4400,2006,buick,lacrosse,good,6,124201,fwd
8980,2010,dodge,charger,good,8,207260,rwd
33590,2014,toyota,tundra crewmax sr5 pickup,good,4,55251,fwd
39590,2020,ford,mustang gt premium coupe 2d,good,8,1419,rwd
26590,2017,honda,pilot lx sport utility 4d,good,6,13836,fwd
